memory-size,avg-attendance
5.0,0.0
5.0,0.0
5.0,71.0
5.0,60.0
5.0,55.33333333
5.0,52.0
5.0,48.4
5.0,48.66666667
5.0,48.85714286
5.0,50.125
5.0,49.44444444
5.0,49.5
5.0,48.27272727
5.0,47.58333333
5.0,47.53846154
5.0,48.14285714
5.0,48.26666667
5.0,48.1875
5.0,47.64705882
5.0,47.0
5.0,46.84210526
5.0,47.05
5.0,47.42857143
5.0,47.54545455
5.0,47.2173913
5.0,46.91666667
5.0,46.68
5.0,46.84615385
5.0,47.03703704
5.0,47.17857143
5.0,46.89655172
5.0,46.83333333
5.0,46.58064516
5.0,46.8125
5.0,46.93939394
5.0,46.97058824
5.0,46.74285714
5.0,46.66666667
5.0,46.48648649
5.0,46.65789474
5.0,46.76923077
5.0,46.8
5.0,46.58536585
5.0,46.47619048
5.0,46.34883721
5.0,46.5
5.0,46.6
5.0,46.58695652
5.0,46.44680851
5.0,46.35416667
5.0,46.24489796
5.0,46.36
5.0,46.41176471
5.0,46.40384615
5.0,46.30188679
5.0,46.2037037
5.0,46.12727273
5.0,46.21428571
5.0,46.26315789
5.0,46.25862069
5.0,46.22033898
5.0,46.13333333
5.0,46.01639344
5.0,46.08064516
5.0,46.11111111
5.0,46.21875
5.0,46.12307692
5.0,46.09090909
5.0,45.98507463
5.0,46.02941176
5.0,46.10144928
5.0,46.21428571
5.0,46.09859155
5.0,46.06944444
5.0,45.98630137
5.0,46.04054054
5.0,46.09333333
5.0,46.17105263
5.0,46.07792208
5.0,46.07692308
5.0,46.0
5.0,46.05
5.0,46.07407407
5.0,46.14634146
5.0,46.08433735
5.0,46.07142857
5.0,45.98823529
5.0,46.02325581
5.0,46.05747126
5.0,46.11363636
5.0,46.06741573
5.0,46.04444444
5.0,45.96703297
5.0,45.97826087
5.0,46.01075269
5.0,46.08510638
5.0,46.03157895
5.0,46.02083333
5.0,45.93814433
5.0,45.95918367
5.0,45.98989899
5.0,46.08
5.0,46.01980198
5.0,46.0
5.0,45.93203883
5.0,45.95192308
5.0,45.99047619
5.0,46.0754717
5.0,46.00934579
5.0,45.99074074
5.0,45.9266055
5.0,45.95454545
5.0,46.00900901
5.0,46.07142857
5.0,46.00884956
5.0,45.99122807
5.0,45.92173913
5.0,45.96551724
5.0,46.0
5.0,46.05084746
5.0,46.0
5.0,45.98333333
5.0,45.90909091
5.0,45.95901639
5.0,45.99186992
5.0,46.04032258
5.0,45.976
5.0,45.98412698
5.0,45.91338583
5.0,45.9453125
5.0,45.96899225
5.0,46.03846154
5.0,45.96946565
5.0,45.96969697
5.0,45.91729323
5.0,45.91791045
5.0,45.94074074
5.0,46.00735294
5.0,45.95620438
5.0,45.96376812
5.0,45.90647482
5.0,45.90714286
5.0,45.92907801
5.0,45.99295775
5.0,45.94405594
5.0,45.95138889
5.0,45.88965517
5.0,45.88356164
5.0,45.9047619
5.0,45.96621622
5.0,45.9261745
5.0,45.93333333
5.0,45.87417219
5.0,45.86842105
5.0,45.88888889
5.0,45.94155844
5.0,45.91612903
5.0,45.92307692
5.0,45.87261146
5.0,45.84810127
5.0,45.85534591
5.0,45.90625
5.0,45.91304348
5.0,45.91358025
5.0,45.87116564
5.0,45.83536585
5.0,45.84242424
5.0,45.87951807
5.0,45.91017964
5.0,45.89880952
5.0,45.87573964
5.0,45.82352941
5.0,45.83040936
5.0,45.86627907
5.0,45.9132948
5.0,45.8908046
5.0,45.88
5.0,45.82954545
5.0,45.83615819
5.0,45.87640449
5.0,45.91620112
5.0,45.88333333
5.0,45.8839779
5.0,45.83516484
5.0,45.86338798
5.0,45.88043478
5.0,45.93513514
5.0,45.88172043
5.0,45.89304813
5.0,45.85106383
5.0,45.85714286
5.0,45.87894737
5.0,45.91099476
5.0,45.890625
5.0,45.89119171
5.0,45.86597938
5.0,45.84615385
5.0,45.8622449
5.0,45.88832487
5.0,45.88383838
5.0,45.88442211
5.0,45.855
5.0,45.82587065
5.0,45.83663366
5.0,45.85714286
5.0,45.87745098
5.0,45.86829268
5.0,45.84951456
5.0,45.80676329
5.0,45.81730769
5.0,45.83732057
5.0,45.87619048
5.0,45.85781991
5.0,45.8490566
5.0,45.81690141
5.0,45.82242991
5.0,45.84186047
5.0,45.87962963
5.0,45.86175115
5.0,45.85321101
5.0,45.82191781
5.0,45.82272727
5.0,45.84615385
5.0,45.87837838
5.0,45.85650224
5.0,45.85714286
5.0,45.83111111
5.0,45.82743363
5.0,45.84140969
5.0,45.87719298
5.0,45.85152838
5.0,45.85652174
5.0,45.81818182
5.0,45.81896552
5.0,45.83690987
5.0,45.87606838
5.0,45.84680851
5.0,45.85169492
5.0,45.81434599
5.0,45.81932773
5.0,45.82845188
5.0,45.86666667
5.0,45.84232365
5.0,45.84710744
5.0,45.81481481
5.0,45.81147541
